2025-12-19 21:57:08,366 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:57:08,367 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:57:15,298 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:57:15,300 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:57:21,984 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:57:21,985 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:57:28,785 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:57:28,785 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:57:35,484 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:57:35,486 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:57:42,479 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:57:42,480 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:57:49,958 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:57:49,960 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:57:56,648 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:57:56,649 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:58:05,109 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:58:05,110 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:58:13,527 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:58:13,528 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:58:20,726 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:58:20,727 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:58:27,440 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:58:27,441 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:58:34,218 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:58:34,218 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:58:40,904 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:58:40,906 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:58:47,713 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:58:47,714 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:58:54,626 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:58:54,627 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:59:01,830 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:59:01,833 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:59:09,097 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:59:09,099 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
2025-12-19 21:59:16,029 - notifications.udp_listener - INFO - New data for viole, metric_count: 102
2025-12-19 21:59:16,030 - __main__ - INFO - [QueryService] New data notification for viole, metric_count: 102
